index,Id,Name,Year,Gender,Count
640,1070093,Macy,1990,F,351
641,1070094,Lacie,1990,F,349
642,1070095,Maura,1990,F,349
643,1070096,Alysia,1990,F,348
644,1070097,Corina,1990,F,348
645,1070098,Elisha,1990,F,348
646,1070099,Sofia,1990,F,348
647,1070100,Jesse,1990,F,347
648,1070101,Laurie,1990,F,344
649,1070102,Christen,1990,F,343
650,1070103,Kacey,1990,F,343
651,1070104,Stevie,1990,F,343
652,1070105,Alexandrea,1990,F,341
653,1070106,Lorraine,1990,F,341
654,1070107,Kaitlynn,1990,F,340
655,1070108,Clare,1990,F,338
656,1070109,Jaleesa,1990,F,338
657,1070110,Julianna,1990,F,338
658,1070111,Antonia,1990,F,337
659,1070112,Janine,1990,F,337
660,1070113,Nikita,1990,F,337
661,1070114,Nathalie,1990,F,332
662,1070115,Yessenia,1990,F,329
663,1070116,Alina,1990,F,326
664,1070117,Paola,1990,F,326
665,1070118,Janie,1990,F,323
666,1070119,Kimberley,1990,F,323
667,1070120,Viviana,1990,F,322
668,1070121,Devan,1990,F,321
669,1070122,Kasandra,1990,F,321
670,1070123,Audra,1990,F,320
671,1070124,Rhiannon,1990,F,320
672,1070125,Corey,1990,F,319
673,1070126,Janessa,1990,F,318
674,1070127,Yasmin,1990,F,317
675,1070128,Cameron,1990,F,316
676,1070129,Kortney,1990,F,316
677,1070130,Kaylyn,1990,F,315
678,1070131,Alecia,1990,F,314
679,1070132,Arlene,1990,F,314
680,1070133,Gwendolyn,1990,F,314
681,1070134,Abbie,1990,F,313
682,1070135,Valeria,1990,F,313
683,1070136,Irma,1990,F,312
684,1070137,Joann,1990,F,312
685,1070138,Roxana,1990,F,311
686,1070139,Brittaney,1990,F,309
687,1070140,Ali,1990,F,308
688,1070141,Skye,1990,F,308
689,1070142,Kristal,1990,F,307
690,1070143,Shanae,1990,F,307
691,1070144,Tiffanie,1990,F,307
692,1070145,Alesha,1990,F,306
693,1070146,Leann,1990,F,306
694,1070147,Nadine,1990,F,306
695,1070148,Amie,1990,F,305
696,1070149,Eden,1990,F,305
697,1070150,Chrystal,1990,F,304
698,1070151,Domonique,1990,F,302
699,1070152,Lauryn,1990,F,302
700,1070153,Myra,1990,F,301
701,1070154,Latifah,1990,F,300
702,1070155,Celina,1990,F,299
703,1070156,Cori,1990,F,299
704,1070157,Giselle,1990,F,299
705,1070158,Shelley,1990,F,298
706,1070159,Allyssa,1990,F,296
707,1070160,Krysta,1990,F,296
708,1070161,Tayler,1990,F,296
709,1070162,Kimberlee,1990,F,295
710,1070163,Mikayla,1990,F,295
711,1070164,Tianna,1990,F,295
712,1070165,Brittnee,1990,F,294
713,1070166,Lyndsay,1990,F,294
714,1070167,Aurora,1990,F,293
715,1070168,Kanisha,1990,F,293
716,1070169,Kaylin,1990,F,292
717,1070170,Georgia,1990,F,291
718,1070171,Janay,1990,F,291
719,1070172,Beatrice,1990,F,290
720,1070173,Ashli,1990,F,289
721,1070174,Britny,1990,F,289
722,1070175,Chantelle,1990,F,289
723,1070176,Rebeca,1990,F,289
724,1070177,Shanice,1990,F,289
725,1070178,Reyna,1990,F,288
726,1070179,Shanika,1990,F,288
727,1070180,Cassondra,1990,F,287
728,1070181,Griselda,1990,F,287
729,1070182,Jerica,1990,F,286
730,1070183,Athena,1990,F,285
731,1070184,Iesha,1990,F,285
732,1070185,Porsha,1990,F,285
733,1070186,Rubi,1990,F,285
734,1070187,Madelyn,1990,F,284
735,1070188,Iliana,1990,F,283
736,1070189,Skyler,1990,F,283
737,1070190,Stefani,1990,F,282
738,1070191,Bernadette,1990,F,281
739,1070192,Betsy,1990,F,281
740,1070193,Ingrid,1990,F,281
741,1070194,Chandra,1990,F,280
742,1070195,Debbie,1990,F,280
743,1070196,Elissa,1990,F,279
744,1070197,Trista,1990,F,279
745,1070198,Deja,1990,F,278
746,1070199,Anabel,1990,F,277
747,1070200,Kandice,1990,F,277
748,1070201,Kassie,1990,F,277
749,1070202,Latrice,1990,F,277
750,1070203,Michael,1990,F,277
751,1070204,Dina,1990,F,276
752,1070205,Kiley,1990,F,276
753,1070206,Kandace,1990,F,275
754,1070207,Krystina,1990,F,275
755,1070208,Martika,1990,F,273
756,1070209,Pauline,1990,F,273
757,1070210,Kiana,1990,F,272
758,1070211,Marcella,1990,F,272
759,1070212,Princess,1990,F,272
