propertycode,Maximum,Minimum,Normalized Maximum
60167,65.47,36.96,0.0029698598239443633
60180,147.83,52.27,0.007527297034677692
60185,100.32,46.46,0.004898304296917366
60186,129.88,63.36,0.006534023626073233
60190,185.31,43.3,0.009601274046070177
60191,96.08,52.27,0.004663681497336146
60192,174.23,103.9,0.008988155975466422
60194,210.13,88.7,0.01097470279267534
60199,230.2,114.04,0.012085287601070409
60203,332.62,205.9,0.01775275626453942
60251,69.32,45.51,0.003182901752809386
60256,89.5,35.77,0.004299573473457742
60485,127.24,95.81,0.00638793773199436
60489,410.61,50.18,0.02206837705211946
60491,214.94,81.11,0.011240866864841772
60496,145.67,86.58,0.007407772212249522
60529,181.84,84.23,0.009409259632261961
60547,145.67,65.3,0.007407772212249522
60583,314.06,167.78,0.01672572816071219
60595,780.66,90.42,0.04254530322783423
60639,148.69,80.37,0.007574885621385203
60644,374.14,221.02,0.02005028896232533
60692,105.48,54.25,0.005183835817162436
60707,282.3,98.45,0.014968270586490594
60721,151.7,70.02,0.0077414456748614935
60725,611.82,146.98,0.03320244627469903
60775,54.36,24.51,0.002355081686362439
60799,212.48,33.89,0.011104741372631913
60801,319.32,91.19,0.017016793237551155
60819,117.45,80.37,0.005846202541451872
60820,130.52,60.29,0.006569438388274173
60830,159.39,94.49,0.00816697617693215
60831,133.72,57.34,0.0067465121992788665
60832,206.66,81.38,0.010782688378867124
60850,170.51,47.02,0.008782307670173465
60888,104.49,58.52,0.005129053606882859
60915,81.78,51.66,0.0038723829044089164
60941,182.34,62.16,0.009436927415231446
60964,590.09,81.69,0.03200000442684528
60972,103.28,59.27,0.005062097572096708
60992,373.52,138.65,0.02001598091144317
60995,130.41,72.57,0.006563351476020885
60997,210.8,143.66,0.011011777621854449
61001,341.57,98.55,0.018248009579693174
61033,289.34,174.8,0.01535783297070092
61072,198.57,74.34,0.01033502365042088
61127,233.45,79.37,0.012265128190372052
61162,202.24,72.17,0.010538105177416891
61172,103.48,53.53,0.0050731646852845026
61178,220.16,72.34,0.01152971851904318
61186,156.49,44.14,0.008006503035709147
61198,533.57,76.86,0.02887243823997486
61310,61.39,31.7,0.002744090714913378
62322,110.03,47.57,0.005435612642184736
62325,155.71,73.58,0.007963341294276753
62328,67.65,29.21,0.003090491357691312
62333,339.81,77.11,0.018150618983640593
62374,271.25,93.44,0.014356812582865008
62397,351.62,135.63,0.018804132017379793
62401,122.23,69.32,0.006110706546640135
62405,198.43,55.43,0.010327276671189427
62476,203.11,67.0,0.010586247119783792
62480,126.79,66.01,0.006363036727321825
62522,119.55,42.0,0.005962407229923703
62543,134.43,73.33,0.006785800451095534
62544,129.59,58.92,0.006517976311950933
62584,218.47,98.45,0.011436201412606326
62614,168.78,37.78,0.008686577141099052
62635,96.44,39.18,0.004683602301074174
62636,1046.25,65.38,0.0572418761855645
62637,525.68,171.79,0.028435840624716404
62646,246.28,227.18,0.012975083501369
62668,199.92,64.29,0.010409726664438486
62707,230.06,76.35,0.012077540621838955
62757,308.61,36.91,0.016424149326344818
62760,156.38,31.25,0.00800041612345586
62780,218.93,75.06,0.011461655772938251
62788,88.88,34.04,0.004265265422575582
62850,153.25,85.16,0.007827215802066892
62892,343.2,34.91,0.018338206552173688
62896,221.02,46.44,0.011577307105750693
62904,274.38,71.79,0.014530012904253976
63365,332.4,80.46,0.017740582440032845
63366,183.28,46.81,0.009488942847214075
63392,175.81,75.85,0.00907558616964999
63393,212.98,55.25,0.011132409155601396
63490,210.86,144.91,0.011015097755810787
63534,90.41,56.36,0.004349928838462202
63550,539.49,226.04,0.029200024790333543
63559,213.99,88.91,0.011188298077199755
63567,99.46,65.3,0.004850715710209854
63576,61.87,23.8,0.0027706517865640815
63600,82.76,35.99,0.003926611759029104
63659,966.35,49.93,0.05282056446704103
63688,362.67,185.83,0.01941559002100538
63693,146.68,68.92,0.00746366113384788
63711,113.02,55.51,0.005601065984342248
63749,140.92,71.98,0.007144928274039428
63759,98.67,22.78,0.004807000613118071
63823,135.53,65.53,0.006846669573628397
63851,286.02,94.94,0.015174118891783552
63853,191.89,50.23,0.00996538206994858
63858,4876.28,52.66,0.2691787537987866
63859,683.15,73.33,0.03714953219312555
63863,130.6,49.69,0.006573865233549289
